Date,SimCorrected
09/01/1998,1429.863777
10/01/1998,994.0522239
11/01/1998,1137.872785
12/01/1998,868.2245242
01/01/1999,927.2081664
02/01/1999,768.8909906
03/01/1999,1116.251228
04/01/1999,1735.976638
05/01/1999,3965.818481
06/01/1999,3974.111667
07/01/1999,1911.551562
08/01/1999,3047.668798
09/01/1999,1366.775895
10/01/1999,1454.893511
11/01/1999,1299.262774
12/01/1999,1224.351174
01/01/2000,1120.785103
02/01/2000,900.4782214
03/01/2000,1212.406424
04/01/2000,1961.946815
05/01/2000,2619.327036
06/01/2000,2209.339855
07/01/2000,1660.011202
08/01/2000,1463.186523
09/01/2000,969.1405069
10/01/2000,1111.609208
11/01/2000,984.2304081
12/01/2000,808.0918781
01/01/2001,765.3348214
02/01/2001,799.1585339
03/01/2001,754.0085357
04/01/2001,1476.880896
05/01/2001,2626.913941
06/01/2001,2194.869443
07/01/2001,1621.911558
08/01/2001,1430.84446
09/01/2001,1116.997859
10/01/2001,944.1350317
11/01/2001,860.3451913
12/01/2001,729.6744502
01/01/2002,693.7773637
02/01/2002,687.4430053
03/01/2002,764.7861518
04/01/2002,767.7064035
05/01/2002,1233.960192
06/01/2002,698.3451155
07/01/2002,733.1039699
08/01/2002,593.0245145
09/01/2002,716.7739919
10/01/2002,691.0749618
11/01/2002,692.925292
12/01/2002,600.5418067
01/01/2003,571.2845564
02/01/2003,524.2578496
03/01/2003,647.3378625
04/01/2003,1027.74942
05/01/2003,1750.996219
06/01/2003,2768.636262
07/01/2003,844.6500362
08/01/2003,1063.206484
09/01/2003,961.1049382
10/01/2003,898.4641438
11/01/2003,843.2194913
12/01/2003,748.6862318
01/01/2004,703.115311
02/01/2004,746.5198787
03/01/2004,945.7187819
04/01/2004,1631.346388
05/01/2004,2151.362905
06/01/2004,1599.541772
07/01/2004,1651.794981
08/01/2004,1441.014108
09/01/2004,1072.297988
10/01/2004,1130.881088
11/01/2004,1027.349085
12/01/2004,915.5166304
01/01/2005,894.4626759
02/01/2005,811.934127
03/01/2005,1139.876335
04/01/2005,1955.172924
05/01/2005,2385.166611
06/01/2005,2016.807426
07/01/2005,1706.031739
08/01/2005,1460.866899
09/01/2005,1201.414581
10/01/2005,1165.482964
11/01/2005,1084.334861
12/01/2005,901.5813654
01/01/2006,964.5825243
02/01/2006,933.4684048
03/01/2006,915.1624864
04/01/2006,1137.615713
05/01/2006,1939.070197
06/01/2006,2055.504907
07/01/2006,1643.707786
08/01/2006,1907.622303
09/01/2006,1361.091144
10/01/2006,1667.260806
11/01/2006,1310.651652
12/01/2006,1062.292449
01/01/2007,975.4097746
02/01/2007,889.2624794
03/01/2007,1136.570401
04/01/2007,1573.724837
05/01/2007,3223.302961
06/01/2007,2888.622582
07/01/2007,1955.093536
08/01/2007,2269.835632
09/01/2007,1509.952838
10/01/2007,1492.280216
11/01/2007,1286.334553
12/01/2007,1067.334594
01/01/2008,983.4514996
02/01/2008,947.3626914
03/01/2008,1337.654566
04/01/2008,1969.713915
05/01/2008,2182.411235
