OBJECTID,POI_ID,SUM_LENGTHKM,MIN_HYDROSEQ,MAX_STARTFLAG,MAX_SO,SUM_TRAV_TIME,MAX_CUMDRAINAG,TOCOMID2,To_POI_ID,PROD_UNIT,tosegment_orig,tosegment_comment,seg_id,tosegment,region,headwaterArea,FTYPE,TOFTYPE,regionOutlet,ToRegion,ToRegionToSegment,seg_id_nat,seg_id_reg,Shape_Length
69,951541,35.529,749900236,0,4,22.14321805,556.2054,951535,952573,11d,813,,802,813,11,2,StreamRiver,StreamRiver,0,,,34431,802,35529.33886
70,951627,20.098,749900078,0,4,12.89918525,526.9923,951535,952573,11d,813,,803,813,11,2,StreamRiver,StreamRiver,0,,,34432,803,20097.7688
71,951897,30.887,749900146,0,4,22.89397181,368.7327,951873,951627,11d,803,,804,803,11,2,StreamRiver,StreamRiver,0,,,34433,804,30886.87388
72,951919,15.187,749900415,0,3,10.1556315,131.4972,951877,951541,11d,802,,805,802,11,2,StreamRiver,StreamRiver,0,,,34434,805,15186.88354
73,952571,15.122,749900456,0,6,5.554264343,14894.7426,952589,952589,11d,816,,812,816,11,2,ArtificialPath,ArtificialPath,0,,,34441,812,15122.27284
74,952573,29.056,749900034,0,5,17.1346577,1232.1027,952589,952589,11d,816,,813,816,11,2,ArtificialPath,ArtificialPath,0,,,34442,813,29054.78199
75,952579,0.261,749900542,0,5,0.116152088,2410.8678,952715,952571,11d,812,,814,812,11,2,ArtificialPath,ArtificialPath,0,,,34443,814,260.6921775
76,952581,0.081,749900545,0,6,0.026364551,12252.1599,952715,952571,11d,812,,815,812,11,2,ArtificialPath,ArtificialPath,0,,,34444,815,80.61786789
77,952589,7.392,749900033,0,6,2.658056414,16189.6716,952595,952595,11d,817,,816,817,11,2,ArtificialPath,ArtificialPath,0,,,34445,816,7392.238878
78,952595,2.919,749900003,0,6,1.069927544,16322.6025,974880,975006,11d,826,,817,826,11,2,ArtificialPath,ArtificialPath,0,,,34446,817,2918.656542
79,952713,0.261,749900543,0,6,0.701497451,0.0846,952579,952579,11d,814,,818,814,11,2,ArtificialPath,ArtificialPath,0,,,34447,818,260.4603649
