Date,discharge_cfs,discharge_flag
2001-10-01,2.6,A
2001-10-02,0.99,A
2001-10-03,0.94,A
2001-10-04,0.97,A
2001-10-05,1,A
2001-10-06,1.2,A
2001-10-07,1.2,A
2001-10-08,1.2,A
2001-10-09,1.1,A
2001-10-10,1.1,A
2001-10-11,1.4,A
2001-10-12,1.4,A
2001-10-13,1.5,A
2001-10-14,1.5,A
2001-10-15,1.5,A
2001-10-16,1.6,A
2001-10-17,1.6,A
2001-10-18,1.5,A
2001-10-19,1.6,A
2001-10-20,1.7,A
2001-10-21,1.5,A
2001-10-22,1.7,A
2001-10-23,1.5,A
2001-10-24,1.3,A
2001-10-25,1.4,A
2001-10-26,1.6,A
2001-10-27,1.7,A
2001-10-28,1.8,A
2001-10-29,1.9,A
2001-10-30,1.9,A
2001-10-31,1.7,A
2001-11-01,1.5,A
2001-11-02,1.4,A
2001-11-03,1.5,A
2001-11-04,1.6,A
2001-11-05,1.6,A
2001-11-06,1.6,A
2001-11-07,1.6,A
2001-11-08,1.7,A
2001-11-09,1.8,A
2001-11-10,1.7,A
2001-11-11,1.8,A
2001-11-12,1.9,A
2001-11-13,2,A
2001-11-14,2,A
2001-11-15,2.3,A
2001-11-16,2.1,A
2001-11-17,2,A
2001-11-18,2.1,A
2001-11-19,2.2,A
2001-11-20,2.2,A
2001-11-21,2.2,A
2001-11-22,2.3,A
2001-11-23,2.5,A
2001-11-24,2.5,A
2001-11-25,2.6,A
2001-11-26,2.5,A
2001-11-27,2.6,A
2001-11-28,2.6,A
2001-11-29,2.9,A
2001-11-30,2.9,A
2001-12-01,2.9,A
2001-12-02,3,A
2001-12-03,3.1,A
2001-12-04,3.1,A
2001-12-05,2.9,A
2001-12-06,2.9,A
2001-12-07,2.9,A
2001-12-08,2.8,A
2001-12-09,2.8,A
2001-12-10,2.8,A
2001-12-11,3,A
2001-12-12,3,A
2001-12-13,3,A
2001-12-14,2.9,A
2001-12-15,3.1,A
2001-12-16,3,A
2001-12-17,2.9,A
2001-12-18,2.9,A
2001-12-19,3,A
2001-12-20,3.1,A
2001-12-21,3.2,A
2001-12-22,3,A
2001-12-23,3.2,A
2001-12-24,3.2,A
2001-12-25,3.2,A
2001-12-26,3.2,A
2001-12-27,3.2,A
2001-12-28,3.4,A
2001-12-29,3.3,A
2001-12-30,3.2,A e
2001-12-31,3.1,A e
2002-01-01,3,A e
2002-01-02,2.9,A e
2002-01-03,3,A e
2002-01-04,3.2,A e
2002-01-05,3.4,A e
2002-01-06,3.5,A
2002-01-07,3.5,A
2002-01-08,3.5,A
2002-01-09,3.6,A
2002-01-10,3.7,A
2002-01-11,3.6,A
2002-01-12,3.6,A
2002-01-13,3.6,A
2002-01-14,3.7,A
2002-01-15,3.7,A
2002-01-16,3.7,A
2002-01-17,3.7,A
2002-01-18,3.8,A
2002-01-19,3.7,A e
2002-01-20,3.6,A e
2002-01-21,3.7,A
2002-01-22,3.9,A
2002-01-23,3.9,A
2002-01-24,3.8,A
2002-01-25,3.8,A
2002-01-26,3.9,A
2002-01-27,3.9,A
2002-01-28,3.9,A
2002-01-29,3.9,A
2002-01-30,3.8,A
2002-01-31,3.7,A e
2002-02-01,3.6,A e
